userId,movieId,rating,timestamp
4,1,4,1113765937
10,1,5,948885850
14,1,4.5,1442169375
15,1,4,1370810063
22,1,4,1237622631
25,1,4,866491842
27,1,5,1440448036
31,1,5,968870625
32,1,4.5,1430861703
38,1,5,979742296
42,1,4,1251234072
43,1,5,1085779023
51,1,4,922276164
54,1,3,868125934
55,1,5,1059057617
56,1,2.5,1274779243
58,1,4,835176319
62,1,4,922115427
67,1,4,1510266803
70,1,4,1272745588
71,1,4,1287852411
73,1,4,1437672012
74,1,5,1364315920
79,1,5,1007910266
99,1,4.5,1485675235
100,1,4,1204695503
107,1,4.5,1441593575
111,1,5,957468911
114,1,5,973376852
121,1,4,831415364
124,1,5,866989520
127,1,2,830876281
132,1,5,1118118965
134,1,5,1347371256
137,1,3.5,1335203484
143,1,3,834669081
144,1,4,850475482
147,1,3,1180565538
148,1,4,858751867
155,1,5,949799512
159,1,4,854383757
160,1,4.5,1076724869
163,1,4,942853263
164,1,4,854201090
166,1,3.5,1438997789
168,1,3,868043680
174,1,3.5,1073681857
180,1,4,1037675360
183,1,5,1120613739
185,1,4,856835981
187,1,3,938468736
190,1,3,854044935
196,1,4,1048803877
213,1,3,967009848
214,1,3,1104263624
232,1,5,1461548614
235,1,5,1009716608
237,1,5,1432103104
239,1,3,991626320
240,1,5,989541271
246,1,5,856086182
251,1,5,831898298
266,1,4,869056428
268,1,1.5,1137250834
269,1,3,953336249
287,1,2,938871429
291,1,5,860067811
292,1,3,1442163755
294,1,3.5,1146661981
295,1,4,1131220617
302,1,4,1446855833
303,1,3,835855648
308,1,2,1129720748
313,1,4,1160609174
314,1,4,1142958128
321,1,2,1461087083
339,1,0.5,1530895351
343,1,4,1113977393
344,1,5,1435746702
345,1,1,1119035917
354,1,5,850139608
355,1,3,847244638
357,1,4.5,1062833276
358,1,4,1257816617
363,1,3.5,1318192130
366,1,3,902067237
368,1,4.5,1473035195
369,1,4,1467015460
374,1,4,1141589310
378,1,4,1257896456
382,1,5,978633041
384,1,3,1186595126
386,1,5,861876732
390,1,4,852002693
393,1,3,833467852
399,1,4,866130875
400,1,3,851368864
402,1,4.5,1115668160
408,1,3,915922608
412,1,3,1436086734
414,1,3.5,1461768685
435,1,3,854262048
438,1,4,869562378
444,1,5,1518326840
447,1,2.5,1134683264
448,1,4,828892435
450,1,4.5,1481674350
451,1,5,861473095
458,1,3.5,1109958215
459,1,5,1461194451
464,1,4,1488601219
465,1,4,1526550836
466,1,3.5,1441794014
471,1,3.5,1517155483
484,1,4,939759731
491,1,3,975015029
493,1,4,851435046
502,1,4,939034694
505,1,4,1354526403
507,1,3,942837846
510,1,5,835058869
514,1,2,1462191066
525,1,4,1436607380
539,1,5,834990978
540,1,4.5,1320913389
541,1,3,863692256
547,1,4,847028309
549,1,5,1238319291
553,1,4.5,1107805591
557,1,4,1378340085
561,1,4,1307463083
569,1,5,855134600
572,1,4,979345826
577,1,5,832506076
578,1,3,857072744
583,1,4.5,1453224271
584,1,3,1000933456
586,1,4,868266170
590,1,4,945537938
593,1,2,952926187
599,1,2,1521662358
601,1,3,1117344850
603,1,4.5,1273588948
605,1,3.5,1308946565
610,1,2.5,1451243129
613,1,4,1439757192
627,1,3,1135941191
629,1,4,1434317084
641,1,3,856615822
642,1,1,1431908328
652,1,2,1132109593
4,2,4,1113767306
14,2,4,1522101105
39,2,3.5,1077333786
42,2,3,1251235519
45,2,0.5,1082139069
46,2,2,1104840512
51,2,3,922274218
56,2,3.5,1274779650
59,2,5,836255841
79,2,4,1030291091
81,2,3,1280373506
90,2,3.5,1305938313
100,2,3.5,1204696040
103,2,5,913050703
114,2,4,973376511
134,2,4,1347379670
147,2,3.5,1172997091
173,2,3,1451255126
183,2,3,1120614284
196,2,3,1048884307
232,2,2,1461548638
235,2,3,1009716016
239,2,2,991712477
245,2,3,909466368
248,2,2,1511282356
285,2,1,1456011463
308,2,2.5,1129720668
310,2,3,847489440
313,2,3.5,1160609822
332,2,2.5,1160256703
339,2,5,1513330332
343,2,1,1114567402
355,2,3,847244563
374,2,4.5,1141589602
376,2,2,1464633322
379,2,4,1522766721
383,2,5,1473636453
384,2,1.5,1186595520
447,2,2.5,1134683756
448,2,4,833477502
458,2,2,1114443016
459,2,4,1461194669
464,2,1.5,1488601365
473,2,3,980198880
480,2,4,841926505
484,2,4,959320192
511,2,1,1167510181
538,2,3,834150131
547,2,3,847028234
549,2,3.5,1238320785
572,2,2,1014098092
601,2,1,1117347239
604,2,4,1151889779
605,2,4,1308946907
620,2,3,948157735
623,2,3,846202909
627,2,3,1135941453
652,2,2,1132109860
8,3,3,858269342
19,3,4,836845013
51,3,4,922259635
81,3,3.5,1280373800
92,3,1,1132007480
114,3,2,973374764
117,3,3,856632513
148,3,3,858751912
163,3,4,942864842
183,3,3.5,1120614497
214,3,3,983029483
241,3,4,855346642
265,3,3,1340905458
357,3,3,1077748718
384,3,1.5,1186595975
394,3,3,864082017
399,3,3,866131705
423,3,4,843303662
435,3,4,854262089
460,3,3,851022635
496,3,4,974695481
523,3,3,851070361
549,3,3,1238321068
553,3,3.5,1107804923
564,3,4,837424085
569,3,4,855134692
572,3,5,1025323723
578,3,3,857072794
601,3,2.5,1210691626
605,3,5,1313873276
645,3,3,869079513
83,4,5,832442974
252,4,4,946956863
491,4,4,974949342
623,4,3,846203469
4,5,2,1123990453
8,5,3,858269342
54,5,4,868125994
89,5,3,853416800
117,5,2,856632513
147,5,2,1173230452
148,5,2,858751912
163,5,3,942864801
173,5,2,1451251569
183,5,2,1120614671
190,5,3,854044988
241,5,3,854889576
